awaiting-time;usage;date
2.79;93.50;14:58
20.73;99.70;14:59
2.93;98.60;15:00
5.98;99.30;15:01
2.63;99.50;15:02
3.53;99.90;15:03
2.42;100.00;15:04
5.82;99.50;15:05
14.39;100.00;15:06
3.88;100.00;15:07
3.02;99.40;15:08
4.66;99.70;15:09
13.77;100.00;15:10
2.90;100.00;15:11
2.87;98.80;15:12
4.83;99.80;15:13
5.11;100.00;15:14
20.85;99.60;15:15
3.79;98.40;15:16
4.06;98.70;15:17
4.38;95.50;15:18
8.19;99.30;15:19
1.59;28.00;15:20
2.70;38.50;15:21
3.23;81.30;15:22
11.22;89.60;15:23
1.84;56.50;15:24
1.10;61.10;15:25
14.05;91.40;15:26
3.84;51.80;15:27
2.61;78.60;15:28
9.93;70.50;15:29
7.54;57.30;15:30
8.83;99.60;15:31
4.90;96.30;15:32
2.46;96.10;15:33
17.22;100.00;15:34
73.64;100.00;15:35
7.42;100.10;15:36
1.73;94.50;15:37
6.26;82.60;15:38
10.63;98.00;15:39
5.14;41.80;15:40
4.80;68.90;15:41
// [
//     {
//         "usage": "2.79",
//         "awaiting-time": "93.50",
//         "date": "14:58"
//     },
//     {
//         "usage": "20.73",
//         "awaiting-time": "99.70",
//         "date": "14:59"
//     },
//     {
//         "usage": "2.93",
//         "awaiting-time": "98.60",
//         "date": "15:00"
//     },
//     {
//         "usage": "5.98",
//         "awaiting-time": "99.30",
//         "date": "15:01"
//     },
//     {
//         "usage": "2.63",
//         "awaiting-time": "99.50",
//         "date": "15:02"
//     },
//     {
//         "usage": "3.53",
//         "awaiting-time": "99.90",
//         "date": "15:03"
//     },
//     {
//         "usage": "2.42",
//         "awaiting-time": "100.00",
//         "date": "15:04"
//     },
//     {
//         "usage": "5.82",
//         "awaiting-time": "99.50",
//         "date": "15:05"
//     },
//     {
//         "usage": "14.39",
//         "awaiting-time": "100.00",
//         "date": "15:06"
//     },
//     {
//         "usage": "3.88",
//         "awaiting-time": "100.00",
//         "date": "15:07"
//     }
// ]
